to,from,documentation
"Myctophidae","Diaphus dumerilii","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Diaphus effulgens","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Hygophum hygomi","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Lampadena","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Lampanyctus","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Lepidophanes guentheri","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Lobianchia dofleini","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Notoscopelus bolini","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Notoscopelus caudispinosus","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Notoscopelus elongatus kroyeri","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Notoscopelus resplendens","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Symbolophorus veranyi","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Myctophidae","Taaningichthys minimus","TODO: verify reasoning from St. Lawrence. Diverse group that can be hard to distinguish in the field and that are found in similar types of habitats. Most specimen are identified at the family level. Identifications at the genus or species level should be correct, but since there are vastly more speciments attributed to the family, all specimens from this family will be aggregated to the family level 'Myctophidae' and used for analyses. Maybe consider adding Neoscopelus macrolepidotus, which is also species found at great depths, but member of the family 'Neoscopelidae'. For now, consider individually."
"Naticidae","Amauropsis islandica","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field; generally similar functional roles and habitats."
"Porifera","Polymastia andrica","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified. Keeping Vazella pourtalesi at the species scale as well."
"Porifera","Polymastia hemisphaerica","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified. Keeping Vazella pourtalesi at the species scale as well."
"Porifera","Polymastia mammilaris","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified. Keeping Vazella pourtalesi at the species scale as well."
"Porifera","Rhizaxinella","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified. Keeping Vazella pourtalesi at the species scale as well."
"Porifera","Geodia","TODO: verify reasoning from St. Lawrence. Hard to distinguish in the field. Porifera is coarse, but represent a widely distributed group that would be vastly underestimated if left out. We therefore combine them at the 'Porifera' level, only leaving 'Stylocordyla borealis' as a species, as it is easily identified. Keeping Vazella pourtalesi at the species scale as well."
"Balanidae","Chirona hameri","TODO: verify reasoning from St. Lawrence. Keep even though coarse. The family represents the same type of species functionally and are hardly distinguishable in the field. Combined with Balanus balanus, which is often grouped in the Balanidae family identification. Add Chirona hameri for Atlantic."



